Com_Name,Sci_Name,n,max_conf,mean_conf,rarity,annual_mean,n_months_present,prop_suspect,any_not_in_bc,any_out_of_season
Killdeer,Charadrius vociferus,4,0.81218696,0.75519359,Common,0.08910607708333333,12,0,FALSE,FALSE
Pygmy Nuthatch,Sitta pygmaea,4,0.8012981,0.761300025,Uncommon,0.014818747916666666,12,0,FALSE,FALSE
Vauxs Swift,Chaetura vauxi,4,0.9637055,0.81872156,Uncommon,0.011328410416666667,7,0,FALSE,FALSE
White-breasted Nuthatch,Sitta carolinensis,4,0.9386585,0.7837413575000001,Uncommon,0.007206135416666667,12,0,FALSE,FALSE
Black-billed Magpie,Pica hudsonia,3,0.8546238,0.7649309,Common,0.06200442083333333,12,0,FALSE,FALSE
Gadwall,Mareca strepera,3,0.8501499,0.7963165833333333,Common,0.06669865416666666,12,0,FALSE,FALSE
House Sparrow,Passer domesticus,3,0.7417045,0.7314945,Common,0.14531956666666668,12,0,FALSE,FALSE
Trumpeter Swan,Cygnus buccinator,3,0.9256727,0.79031374666666665,Common,0.040467714583333335,12,0,FALSE,FALSE
Willow Flycatcher,Empidonax traillii,3,0.82639194,0.7841106,Common,0.035898,5,0,FALSE,FALSE
Bank Swallow,Riparia riparia,2,0.7405211,0.73450355,Uncommon,0.00697926875,6,0,FALSE,FALSE
Brewers Blackbird,Euphagus cyanocephalus,2,0.88799554,0.8202928,Common,0.05194593125,12,0,FALSE,FALSE
California Quail,Callipepla californica,2,0.9181273,0.867478,Common,0.05801779375,12,0,FALSE,FALSE
Least Flycatcher,Empidonax minimus,2,0.8064744,0.7709760999999999,Uncommon,0.006705777083333334,5,0,FALSE,FALSE
Red-tailed Hawk,Buteo jamaicensis,2,0.8287157,0.7749656250000001,Common,0.10787715208333333,12,0,FALSE,FALSE
Tundra Swan,Cygnus columbianus,2,0.7164989,0.71030295,Uncommon,0.00568531875,8,0,FALSE,FALSE
Veery,Catharus fuscescens,2,0.913458,0.8602297,Uncommon,0.00667334375,4,0,FALSE,FALSE
Western Bluebird,Sialia mexicana,2,0.75345623,0.7444767649999999,Uncommon,0.008826704166666666,12,0,FALSE,FALSE
White-winged Crossbill,Loxia leucoptera,2,0.7897188,0.77709305,Uncommon,0.0051019958333333336,12,0,FALSE,FALSE
American Coot,Fulica americana,1,0.7704256,0.7704256,Common,0.08129928333333333,12,0,FALSE,FALSE
Bullocks Oriole,Icterus bullockii,1,0.7453378,0.7453378,Uncommon,0.0140697125,5,0,FALSE,FALSE
Bushtit,Psaltriparus minimus,1,0.79076684,0.79076684,Common,0.08090037083333333,12,0,FALSE,FALSE
Cassins Vireo,Vireo cassinii,1,0.72915876,0.72915876,Uncommon,0.015797102083333334,6,0,FALSE,FALSE
Common Goldeneye,Bucephala clangula,1,0.842747,0.842747,Common,0.07488531041666667,12,0,FALSE,FALSE
Common Loon,Gavia immer,1,0.872145,0.872145,Common,0.07984143958333334,12,0,FALSE,FALSE
Common Merganser,Mergus merganser,1,0.71422154,0.71422154,Common,0.11026609166666666,12,0,FALSE,FALSE
Common Yellowthroat,Geothlypis trichas,1,0.7079263,0.7079263,Common,0.07159557916666666,7,0,FALSE,FALSE
Great Horned Owl,Bubo virginianus,1,0.7089577,0.7089577,Uncommon,0.012256547916666667,12,0,FALSE,FALSE
Greater Yellowlegs,Tringa melanoleuca,1,0.72013986,0.72013986,Common,0.034254,12,0,FALSE,FALSE
Lazuli Bunting,Passerina amoena,1,0.8174225,0.8174225,Uncommon,0.013049064583333334,5,0,FALSE,FALSE
Merlin,Falco columbarius,1,0.71672153,0.71672153,Common,0.034218627083333335,12,0,FALSE,FALSE
Pacific Loon,Gavia pacifica,1,0.7309387,0.7309387,Common,0.022600627083333335,12,0,FALSE,FALSE
Ring-billed Gull,Larus delawarensis,1,0.78584164,0.78584164,Common,0.06400259166666666,12,0,FALSE,FALSE
Solitary Sandpiper,Tringa solitaria,1,0.75261664,0.75261664,Uncommon,0.0053553875,6,0,FALSE,FALSE
