Date,Time,Sci_Name,Com_Name,Confidence,File_Name,month_num,annual_mean,annual_max,n_months_present,rarity,present_m1,present_m2,present_m3,present_m4,present_m5,present_m6,present_m7,present_m8,present_m9,present_m10,present_m11,present_m12,in_bc_list,flag_not_in_bc,flag_low_conf,flag_out_of_season,flag_rare_status,flag_early_deploy,flag_suspect
2024-06-15,04:40:26,Turdus migratorius,American Robin,0.7288959,American_Robin-73-2024-06-15-birdnet-04:40:26.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:26:26,Pipilo maculatus,Spotted Towhee,0.8182308,Spotted_Towhee-82-2024-06-15-birdnet-05:26:26.mp3,6,0.32626185625,0.3705701,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:26:41,Pipilo maculatus,Spotted Towhee,0.98973805,Spotted_Towhee-99-2024-06-15-birdnet-05:26:41.mp3,6,0.32626185625,0.3705701,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:26:41,Pipilo maculatus,Spotted Towhee,0.9600417,Spotted_Towhee-96-2024-06-15-birdnet-05:26:41.mp3,6,0.32626185625,0.3705701,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:26:41,Pipilo maculatus,Spotted Towhee,0.8615322,Spotted_Towhee-86-2024-06-15-birdnet-05:26:41.mp3,6,0.32626185625,0.3705701,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:27:11,Pipilo maculatus,Spotted Towhee,0.8323945,Spotted_Towhee-83-2024-06-15-birdnet-05:27:11.mp3,6,0.32626185625,0.3705701,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:27:11,Pipilo maculatus,Spotted Towhee,0.78800565,Spotted_Towhee-79-2024-06-15-birdnet-05:27:11.mp3,6,0.32626185625,0.3705701,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:27:41,Pipilo maculatus,Spotted Towhee,0.7453707,Spotted_Towhee-75-2024-06-15-birdnet-05:27:41.mp3,6,0.32626185625,0.3705701,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:27:41,Pipilo maculatus,Spotted Towhee,0.7071413,Spotted_Towhee-71-2024-06-15-birdnet-05:27:41.mp3,6,0.32626185625,0.3705701,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:27:56,Pipilo maculatus,Spotted Towhee,0.8915997,Spotted_Towhee-89-2024-06-15-birdnet-05:27:56.mp3,6,0.32626185625,0.3705701,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
