









Frequency of observations in the selected location(s).:
Number of taxa: 	854

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Greater White-fronted x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6E-5	2.42E-5	8.15E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag x Canada Goose (hybrid)	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11E-5	3.02E-5	2.06E-5	0.0	0.0	0.0	7.34E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
Domestic goose sp. x Canada Goose (hybrid)	2.348E-4	2.414E-4	9.64E-5	2.329E-4	1.312E-4	1.886E-4	2.985E-4	2.595E-4	3.51E-4	1.804E-4	2.588E-4	1.938E-4	1.408E-4	1.34E-4	1.259E-4	7.77E-5	5.69E-5	8.86E-5	1.219E-4	6.04E-5	1.106E-4	9.19E-5	1.209E-4	2.04E-5	7.84E-5	1.198E-4	1.565E-4	3.422E-4	2.712E-4	2.801E-4	5.141E-4	3.715E-4	3.86E-4	4.695E-4	7.434E-4	3.917E-4	4.851E-4	3.57E-4	4.841E-4	3.467E-4	3.428E-4	1.95E-4	0.0	2.828E-4	8.45E-5	1.295E-4	1.103E-4	1.293E-4	
Cackling/Canada Goose	0.0016198	0.0019012	0.0013496	0.0022828	0.0019029	0.0020203	0.0015325	0.0010055	0.001053	0.001203	0.0012162	9.512E-4	8.214E-4	9.382E-4	0.0010071	6.526E-4	5.498E-4	3.19E-4	2.844E-4	3.169E-4	4.42E-5	0.0	4.84E-5	0.0	0.0	0.0	0.0	2.28E-5	1.808E-4	1.556E-4	1.814E-4	1.032E-4	3.309E-4	5.576E-4	5.055E-4	0.0011995	0.0013643	0.0013387	0.0020748	0.0027239	0.0034276	0.0023399	0.0022534	0.0028279	0.0027456	0.0016839	0.001507	0.0017592	
Branta sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.24E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan	0.0062446	0.0067296	0.0060731	0.006662	0.0059057	0.0064648	0.0044383	0.004898	0.0052359	0.0046916	0.004839	0.0045976	0.0056322	0.0050709	0.0046789	0.0047544	0.0047206	0.0040764	0.0037382	0.0031843	0.0035388	0.0034243	0.003047	0.0022828	0.0028238	0.0027858	0.0031606	0.0040374	0.004459	0.0044818	0.0052918	0.0048297	0.0044393	0.0041085	0.0045496	0.0057529	0.0059728	0.0058012	0.0051179	0.0066363	0.0044901	0.0058824	0.0055585	0.0048427	0.0045197	0.0039722	0.0046681	0.0051222	
Black Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35E-5	0.0	0.0	0.0	0.0	0.0	0.0	3.02E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Trumpeter Swan	0.0894899	0.0879983	0.0803959	0.0815514	0.0751665	0.0658873	0.0586339	0.0673716	0.0685056	0.0726294	0.0735949	0.0521059	0.0357176	0.0262482	0.0205829	0.0133155	0.0110717	0.0127608	0.0080655	0.0079986	0.0088028	0.0088022	0.0081737	0.0069708	0.0062227	0.005931	0.0057579	0.0053832	0.0074418	0.0072829	0.0067735	0.0068318	0.008079	0.0079822	0.0081477	0.0104776	0.0119455	0.013536	0.0215783	0.0527189	0.0747215	0.0951251	0.1032825	0.0988335	0.0919574	0.0825526	0.0847975	0.0832493	
Mute x Trumpeter Swan (hybrid)	2.113E-4	9.05E-5	1.285E-4	4.66E-5	1.64E-4	1.886E-4	1.194E-4	1.297E-4	1.755E-4	6.01E-5	5.18E-5	1.76E-5	4.69E-5	8.94E-5	2.1E-5	0.0	0.0015	0.0	0.0	0.0	2.21E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.03E-5	2.801E-4	1.21E-4	2.89E-4	1.654E-4	2.641E-4	2.974E-4	2.693E-4	1.213E-4	8.92E-5	6.224E-4	2.971E-4	1.028E-4	4.55E-4	2.629E-4	1.06E-4	1.267E-4	1.295E-4	7.35E-5	7.76E-5	
Tundra Swan	0.0078879	0.0086007	0.0072298	0.0061728	0.0051183	0.0046601	0.0046573	0.0060008	0.0054114	0.0071276	0.0103768	0.0121898	0.0095278	0.0070144	0.0050775	0.0029987	0.0022371	0.0019496	0.0020113	0.0013281	9.732E-4	7.584E-4	4.353E-4	2.038E-4	2.615E-4	1.797E-4	2.191E-4	2.737E-4	6.93E-4	5.602E-4	5.141E-4	3.715E-4	7.169E-4	5.576E-4	9.516E-4	7.834E-4	0.0020313	0.0025882	0.006017	0.0139659	0.019126	0.0234319	0.0208818	0.0190173	0.0116161	0.0111394	0.0085643	0.0084853	
Trumpeter/Tundra Swan	0.0020659	0.0020521	0.0015424	0.0018868	0.0016077	0.001697	0.0016519	0.0021408	0.0023986	0.0033382	0.0041404	0.004668	0.0040834	0.0046241	0.0026227	0.0013518	0.0010806	0.0015242	0.0010361	7.999E-4	3.096E-4	1.379E-4	1.935E-4	1.631E-4	2.615E-4	1.797E-4	6.26E-5	1.141E-4	1.506E-4	1.245E-4	2.117E-4	1.651E-4	3.309E-4	3.228E-4	5.055E-4	0.0013464	0.0017585	6.247E-4	0.0030431	0.0029962	0.0048329	0.0060773	0.0060092	0.0042418	0.0026611	0.0032382	0.0022422	0.0022507	
Whooper Swan	7.04E-5	9.05E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.629E-4	0.0010958	8.87E-4	6.908E-4	3.68E-5	2.328E-4	
swan sp.	4.226E-4	5.432E-4	5.784E-4	4.659E-4	6.562E-4	4.579E-4	5.573E-4	3.244E-4	5.558E-4	0.0010225	8.798E-4	8.631E-4	5.163E-4	4.021E-4	3.357E-4	1.554E-4	2.654E-4	3.722E-4	1.828E-4	1.056E-4	1.106E-4	1.839E-4	2.176E-4	6.11E-5	7.84E-5	5.99E-5	6.26E-5	0.0015	3.01E-5	6.22E-5	1.21E-4	1.238E-4	2.76E-5	0.0	1.189E-4	7.34E-5	1.516E-4	2.975E-4	2.766E-4	9.905E-4	0.0015081	0.001235	0.0010516	8.837E-4	8.87E-4	8.635E-4	8.086E-4	6.985E-4	
goose sp.	2.113E-4	1.509E-4	2.249E-4	6.99E-5	1.64E-4	1.347E-4	1.393E-4	6.49E-5	8.78E-5	2.406E-4	2.59E-5	2.995E-4	3.52E-4	9.159E-4	0.002308	0.0023461	0.0012323	4.254E-4	2.844E-4	1.811E-4	8.85E-5	9.19E-5	1.451E-4	1.019E-4	5.23E-5	3.0E-5	9.39E-5	4.56E-5	1.205E-4	9.34E-5	3.02E-5	2.683E-4	2.482E-4	2.935E-4	8.624E-4	0.0015667	0.0011218	0.00119	0.0015215	0.0013372	6.512E-4	7.475E-4	4.882E-4	3.888E-4	2.534E-4	1.295E-4	2.573E-4	2.07E-4	
Egyptian Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruddy Shelduck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck	3.287E-4	2.112E-4	1.285E-4	2.329E-4	3.281E-4	1.616E-4	7.96E-5	2.271E-4	8.78E-5	1.804E-4	5.18E-5	3.52E-5	1.643E-4	6.7E-5	1.049E-4	2.02E-4	3.792E-4	2.836E-4	2.235E-4	1.207E-4	1.106E-4	6.89E-5	0.0015	8.15E-5	5.23E-5	1.198E-4	3.13E-5	1.597E-4	6.03E-5	6.22E-5	1.21E-4	1.238E-4	5.51E-5	1.467E-4	5.95E-5	9.79E-5	1.516E-4	2.97E-5	3.112E-4	4.21E-4	2.057E-4	1.95E-4	1.878E-4	4.595E-4	1.69E-4	1.295E-4	1.47E-4	4.657E-4	
Ringed Teal	2.35E-5	0.0	3.21E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59E-5	
Wood Duck	0.041247	0.0453572	0.0439575	0.044491	0.0470816	0.0435029	0.0412786	0.0532291	0.0546699	0.0555472	0.0621571	0.0756399	0.0801417	0.0813805	0.0869264	0.0841814	0.0845167	0.0861705	0.0828898	0.0830491	0.073585	0.0680502	0.0626572	0.0580286	0.0563181	0.0589504	0.0600513	0.063937	0.077521	0.0839402	0.0854551	0.0913725	0.0834643	0.0827855	0.0816855	0.0786066	0.0720371	0.0650919	0.0580953	0.0567799	0.0507969	0.0526812	0.0474724	0.0456698	0.0427051	0.0400242	0.0347717	0.0381063	
Mandarin Duck	7.043E-4	7.544E-4	6.427E-4	9.783E-4	0.0010171	9.967E-4	4.578E-4	5.514E-4	8.19E-4	8.421E-4	6.469E-4	5.461E-4	4.459E-4	3.127E-4	3.567E-4	4.195E-4	3.033E-4	3.367E-4	4.063E-4	6.942E-4	6.414E-4	3.677E-4	3.869E-4	2.242E-4	2.615E-4	2.097E-4	2.816E-4	5.018E-4	2.109E-4	1.556E-4	3.629E-4	3.096E-4	3.585E-4	3.522E-4	2.676E-4	6.365E-4	8.186E-4	8.33E-4	0.0011066	8.914E-4	5.484E-4	7.475E-4	8.638E-4	0.0012018	9.293E-4	8.635E-4	9.189E-4	9.313E-4	
Wood x Mandarin Duck (hybrid)	2.35E-5	0.0	0.0	0.0	3.28E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Baikal Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53E-5	0.0	0.0	0.0	0.0	
Garganey	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23E-5	0.0	0.0	0.0	0.0	0.0015	1.51E-5	2.21E-5	6.89E-5	0.0	2.038E-4	2.61E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	1.487E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0	1.811E-4	6.43E-5	2.562E-4	3.28E-5	0.0	0.0	0.0	5.85E-5	6.01E-5	1.035E-4	1.762E-4	8.448E-4	9.829E-4	0.0022031	0.0102547	0.0305231	0.0634493	0.0800049	0.0773143	0.0473758	0.0359211	0.0282453	0.0211161	0.0175962	0.0134196	0.0117349	0.0130018	0.0160284	0.0207283	0.0238887	0.0236739	0.0217277	0.0189283	0.0183473	0.014933	0.0103083	0.0056524	0.0041497	0.0023277	9.597E-4	1.625E-4	3.005E-4	1.06E-4	1.69E-4	0.0	7.35E-5	0.0	
