









Frequency of observations in the selected location(s).:
Number of taxa: 	854

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Rough-legged Hawk	0.0141325	0.0149682	0.0159057	0.0128348	0.0127301	0.0101282	0.0079412	0.0095365	0.0092725	0.0092629	0.0090053	0.0088429	0.0102084	0.0085781	0.0057909	0.0032939	0.0014029	3.899E-4	2.641E-4	9.05E-5	8.85E-5	2.3E-5	2.42E-5	2.04E-5	2.61E-5	3.0E-5	0.0	0.0015	0.0	1.556E-4	9.07E-5	1.445E-4	2.206E-4	5.282E-4	3.866E-4	9.058E-4	0.004093	0.0088951	0.0111349	0.0155755	0.0144987	0.018102	0.0178773	0.0178508	0.0170229	0.0147662	0.0169815	0.0162204	
Red-tailed x Rough-legged Hawk (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	
Ferruginous Hawk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	1.76E-5	2.35E-5	0.0015	4.2E-5	0.0015	1.9E-5	0.0	0.0015	3.02E-5	0.0015	0.0	2.42E-5	0.0	0.0	0.0015	0.0	6.84E-5	3.01E-5	1.245E-4	6.05E-5	2.06E-5	1.379E-4	8.8E-5	2.97E-5	0.0015	0.0	0.0	0.0	2.48E-5	0.0	0.0	0.0	3.53E-5	0.0	8.64E-5	0.0	0.0	
Buteo sp.	2.348E-4	3.32E-4	1.607E-4	3.494E-4	1.969E-4	1.886E-4	1.791E-4	2.919E-4	8.78E-5	5.413E-4	1.811E-4	4.756E-4	8.448E-4	6.925E-4	3.986E-4	3.574E-4	4.36E-4	3.367E-4	2.641E-4	3.471E-4	3.318E-4	1.839E-4	3.869E-4	2.242E-4	1.307E-4	1.198E-4	2.191E-4	2.965E-4	3.013E-4	2.801E-4	3.629E-4	3.509E-4	5.515E-4	0.0011152	0.0015165	0.0011995	7.276E-4	5.95E-4	4.15E-4	4.457E-4	4.113E-4	3.25E-4	3.005E-4	3.181E-4	3.379E-4	3.022E-4	3.308E-4	4.398E-4	
Buteo/eagle sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76E-5	0.0	0.0	2.1E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hawk sp.	0.0015259	0.0016598	0.0014781	0.0014442	0.0012468	0.0014276	0.0016519	0.0013299	0.0016088	0.002015	0.001475	0.0017439	0.0017131	0.0016307	0.0017624	0.0015071	0.001384	0.0016305	0.0010768	9.055E-4	0.0014376	8.274E-4	6.287E-4	8.357E-4	6.798E-4	7.189E-4	9.388E-4	0.0011177	0.0011449	7.781E-4	0.0013607	0.0014241	0.0011857	0.0019075	0.0025276	0.0026684	0.0025771	0.0021122	0.0024206	0.0016591	0.0011311	0.001755	0.0019154	0.00152	0.0013095	0.0018566	0.0016173	0.0016557	
eagle sp.	2.35E-5	3.02E-5	1.285E-4	6.99E-5	1.64E-4	8.08E-5	1.99E-5	1.297E-4	1.17E-4	1.203E-4	1.811E-4	8.81E-5	1.173E-4	1.34E-4	1.259E-4	9.32E-5	9.48E-5	7.09E-5	6.09E-5	9.05E-5	6.64E-5	0.0015	9.67E-5	6.11E-5	5.23E-5	5.99E-5	3.13E-5	9.12E-5	3.01E-5	3.11E-5	3.02E-5	2.06E-5	2.76E-5	5.87E-5	1.784E-4	1.469E-4	1.213E-4	2.38E-4	6.92E-5	9.9E-5	6.86E-5	1.625E-4	7.51E-5	2.474E-4	8.45E-5	0.0015	1.47E-4	5.17E-5	
American Barn Owl	0.0035449	0.0030178	0.0031169	0.0032378	0.0027232	0.002559	0.0023485	0.0022057	0.0019306	0.0015639	0.0015268	0.0019024	0.0013142	0.0011616	0.001154	0.0011342	9.858E-4	0.0010279	0.0010768	0.0010715	0.0015261	0.001264	0.0015235	0.0017529	0.0018302	0.0019171	0.0024096	0.002646	0.001868	0.0024276	0.0024493	0.0025181	0.002261	0.0021129	0.0018436	0.0017136	0.0017888	0.0016957	0.0024206	0.0027981	0.0026735	0.0022099	0.0036806	0.0036762	0.0029146	0.0040585	0.0047416	0.0053809	
Flammulated Owl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66E-5	7.58E-5	7.444E-4	0.0026208	0.0020676	0.0017915	0.0014019	0.0011608	0.0010191	9.674E-4	7.788E-4	6.572E-4	3.193E-4	1.506E-4	3.11E-5	0.0	4.13E-5	0.0015	0.0	2.97E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Western Screech-Owl	0.0013851	0.0012373	7.391E-4	7.454E-4	0.0010171	0.0011044	0.0010549	0.0014597	0.001287	0.0020451	0.0015526	0.0019024	0.0015489	0.001251	8.602E-4	8.079E-4	7.394E-4	7.975E-4	0.0017878	0.001645	9.953E-4	9.193E-4	0.0010399	8.153E-4	3.922E-4	5.092E-4	6.259E-4	3.878E-4	5.724E-4	8.403E-4	3.629E-4	5.986E-4	2.482E-4	3.815E-4	6.245E-4	8.079E-4	5.761E-4	3.57E-4	4.841E-4	6.438E-4	5.827E-4	3.25E-4	0.0010516	9.897E-4	9.293E-4	0.0012953	0.0016173	0.0014487	
Snowy Owl	0.0023006	0.0021426	0.0026027	0.0019334	0.0022639	0.0020203	0.0012539	0.0013948	0.0011115	0.0013233	7.504E-4	6.694E-4	2.816E-4	1.564E-4	1.679E-4	1.088E-4	0.0015	1.77E-5	0.0015	7.55E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	9.9E-5	6.512E-4	0.0024374	0.0025163	0.0028279	0.0028301	0.0039722	0.0022422	0.0031044	
Great Horned Owl	0.0127943	0.0129463	0.014042	0.0146285	0.0123692	0.01363	0.0115238	0.0119044	0.0128411	0.0137139	0.0135856	0.013828	0.0127194	0.011929	0.0109314	0.010208	0.0090811	0.0108289	0.0101987	0.0094021	0.0078738	0.0076301	0.0072064	0.0075007	0.0075561	0.0073388	0.0098573	0.0096031	0.0123829	0.0137877	0.0137587	0.0151909	0.0158271	0.0165219	0.0168307	0.0178952	0.0157657	0.0154697	0.0107545	0.0097811	0.0108655	0.0104647	0.0131075	0.0124426	0.0122497	0.0135573	0.0177167	0.0162722	
Bubo sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Hawk Owl	0.0021128	0.0014485	0.0014781	0.0023294	0.0020342	0.0019125	0.0011942	9.731E-4	0.001287	4.511E-4	4.14E-4	3.875E-4	1.877E-4	8.94E-5	1.259E-4	2.175E-4	1.706E-4	1.063E-4	4.06E-5	1.207E-4	2.212E-4	2.528E-4	4.84E-5	3.465E-4	1.046E-4	8.99E-5	0.0015	1.825E-4	1.205E-4	0.0015	9.07E-5	4.13E-5	2.76E-5	2.641E-4	1.784E-4	1.469E-4	3.335E-4	1.785E-4	1.037E-4	6.438E-4	5.827E-4	8.45E-4	4.131E-4	0.0014846	0.0019008	0.0012953	0.0014335	0.0015005	
Northern Pygmy-Owl	0.0088973	0.0068805	0.0079689	0.0079432	0.0073493	0.0070305	0.0064684	0.0060657	0.0047971	0.0059246	0.006107	0.0049499	0.0044354	0.0030381	0.0026647	0.0019111	0.0020854	0.0018078	0.0021941	0.001811	0.0016588	0.0015398	0.0016444	0.0015083	0.0012289	0.0011383	0.0011891	0.0010721	0.0012654	0.0019297	0.0028727	0.0028483	0.0048805	0.0056932	0.005977	0.0064628	0.0074584	0.0072291	0.0072965	0.0054725	0.0060326	0.0058174	0.0055209	0.0060799	0.0068852	0.0086352	0.0100713	0.0118225	
Burrowing Owl	2.35E-5	0.0	3.21E-5	0.0	3.28E-5	2.69E-5	9.95E-5	6.49E-5	8.78E-5	6.01E-5	1.811E-4	2.466E-4	2.816E-4	2.457E-4	6.714E-4	1.243E-4	1.706E-4	1.418E-4	6.298E-4	4.678E-4	4.202E-4	2.988E-4	2.418E-4	3.669E-4	2.092E-4	1.797E-4	3.755E-4	2.965E-4	1.506E-4	1.245E-4	6.05E-5	1.032E-4	1.103E-4	2.348E-4	8.92E-5	1.469E-4	6.06E-5	1.487E-4	1.383E-4	7.43E-5	3.43E-5	0.0015	0.0015	4.242E-4	0.0015	0.0015	0.0015	2.59E-5	
Spotted Owl	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0015	0.0	0.0	2.35E-5	6.7E-5	4.2E-5	1.55E-5	0.0015	0.0015	0.0015	3.02E-5	2.21E-5	0.0015	0.0	2.04E-5	2.61E-5	5.99E-5	0.0015	6.84E-5	0.0	0.0015	3.02E-5	0.0	0.0	0.0	0.0015	4.9E-5	0.0	0.0	3.46E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Barred Owl	0.0089208	0.010532	0.0104752	0.0122059	0.0116474	0.0109902	0.0108471	0.0138182	0.0133969	0.0135034	0.014129	0.0155719	0.0129541	0.0122194	0.0128407	0.0136263	0.0152994	0.0149053	0.0143025	0.0155745	0.0133369	0.0135825	0.0115351	0.013595	0.0130206	0.0131201	0.0127988	0.0113823	0.0092495	0.0103953	0.0107348	0.0121156	0.0133179	0.0132351	0.0138868	0.0146393	0.016463	0.017344	0.0150425	0.0145602	0.0142245	0.0123497	0.0143469	0.0145281	0.0146152	0.0131255	0.0146291	0.0112793	
Great Gray Owl	0.0014085	9.959E-4	0.001446	0.0012113	8.859E-4	0.0018856	9.951E-4	0.0016867	7.605E-4	7.819E-4	7.763E-4	8.455E-4	6.102E-4	5.585E-4	5.665E-4	3.418E-4	3.792E-4	6.558E-4	6.704E-4	6.188E-4	5.751E-4	6.435E-4	5.804E-4	5.707E-4	5.752E-4	4.194E-4	2.191E-4	2.509E-4	3.917E-4	4.669E-4	2.117E-4	3.922E-4	3.86E-4	4.695E-4	3.271E-4	2.448E-4	2.122E-4	2.38E-4	5.187E-4	2.971E-4	3.085E-4	4.55E-4	7.511E-4	5.302E-4	5.069E-4	6.908E-4	0.0011027	0.0016039	
Long-eared Owl	0.0023945	0.0022935	0.0029562	0.0022362	0.0025919	0.0023166	0.0017515	0.0018165	0.001404	0.0015639	0.0014232	0.0014092	7.979E-4	6.702E-4	0.001091	4.35E-4	3.981E-4	4.076E-4	8.939E-4	6.037E-4	2.875E-4	3.218E-4	3.869E-4	3.669E-4	5.229E-4	1.797E-4	4.068E-4	2.053E-4	4.821E-4	9.34E-5	2.419E-4	8.26E-5	3.033E-4	8.8E-5	3.866E-4	1.224E-4	2.122E-4	1.785E-4	2.421E-4	6.933E-4	6.512E-4	0.00117	0.0012018	9.544E-4	0.0013517	0.0016407	0.001654	0.0025094	
Short-eared Owl	0.0111745	0.0121013	0.0113428	0.0103424	0.0085633	0.0075692	0.0045976	0.0048655	0.0047386	0.0046014	0.0039592	0.0021843	0.002159	0.0023009	0.0017624	0.0012896	7.204E-4	9.571E-4	4.47E-4	4.678E-4	3.318E-4	6.435E-4	5.562E-4	4.28E-4	4.968E-4	4.493E-4	3.129E-4	3.878E-4	1.205E-4	3.11E-5	9.07E-5	1.238E-4	3.86E-4	2.054E-4	3.866E-4	4.896E-4	8.186E-4	0.0022312	0.0046338	0.0084192	0.0112425	0.0164771	0.0135957	0.0162248	0.0144462	0.0110962	0.0102918	0.0117449	
Long-eared/Short-eared Owl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Boreal Owl	7.04E-5	3.02E-5	1.607E-4	0.0015	9.84E-5	1.077E-4	3.98E-5	1.946E-4	3.51E-4	6.616E-4	0.0015009	7.222E-4	5.632E-4	3.574E-4	4.616E-4	1.864E-4	1.706E-4	2.836E-4	2.032E-4	1.66E-4	1.327E-4	1.149E-4	1.451E-4	0.0015	1.569E-4	1.797E-4	2.191E-4	9.12E-5	0.0	9.34E-5	0.0015	2.06E-5	2.206E-4	2.348E-4	2.974E-4	9.79E-5	3.335E-4	2.975E-4	1.037E-4	2.724E-4	1.028E-4	0.0015	3.76E-5	7.07E-5	8.45E-5	0.0015	1.47E-4	5.17E-5	
Northern Saw-whet Owl	0.0067376	0.0072728	0.0070049	0.0081062	0.0082352	0.0065187	0.0069262	0.0096338	0.0095358	0.0099245	0.010118	0.007645	0.0050455	0.0038423	0.0039026	0.0021597	0.0015925	0.0012938	0.002316	0.0010111	8.847E-4	6.205E-4	0.0010882	5.707E-4	2.876E-4	2.097E-4	1.878E-4	2.509E-4	3.314E-4	2.179E-4	3.024E-4	4.747E-4	0.0011305	0.0014673	0.0034494	0.0046023	0.0056999	0.0053549	0.0036655	0.0036401	0.0025707	0.0033149	0.0038684	0.0042418	0.0034637	0.0047062	0.0051459	0.0066227	
owl sp.	1.409E-4	1.811E-4	9.64E-5	2.096E-4	3.28E-5	2.963E-4	1.592E-4	1.297E-4	1.17E-4	2.105E-4	2.329E-4	7.05E-5	7.04E-5	2.457E-4	1.049E-4	1.088E-4	7.58E-5	1.241E-4	8.13E-5	9.05E-5	8.85E-5	1.149E-4	1.693E-4	2.04E-5	1.307E-4	1.797E-4	1.878E-4	4.56E-5	2.109E-4	1.556E-4	0.0015	2.27E-4	2.206E-4	2.93E-5	1.784E-4	3.182E-4	2.122E-4	3.57E-4	1.729E-4	2.724E-4	1.028E-4	1.95E-4	3.005E-4	7.07E-5	2.112E-4	1.295E-4	2.941E-4	2.328E-4	
Belted Kingfisher	0.0713196	0.0675378	0.0606664	0.0636385	0.0566948	0.055382	0.0419553	0.0512504	0.0515401	0.0537427	0.0554808	0.0567739	0.057871	0.0590417	0.0585594	0.0594925	0.0605342	0.062634	0.0597903	0.0613625	0.0562007	0.0571566	0.060916	0.0685255	0.0798755	0.0944165	0.1101515	0.1401004	0.1597722	0.1744164	0.1825219	0.1857585	0.1863678	0.1884317	0.1789527	0.1692575	0.1575963	0.166508	0.1476935	0.145206	0.1337789	0.1367891	0.118005	0.1044185	0.0999409	0.0996503	0.0921855	0.0849308	
Williamson's Sapsucker	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.622E-4	5.85E-5	2.707E-4	5.952E-4	0.0011802	0.0012203	0.001385	0.001112	0.0011808	9.479E-4	0.0010988	0.0022754	0.0018865	0.0016146	0.0014479	0.0020072	0.0017733	0.0014119	8.687E-4	4.381E-4	4.334E-4	3.013E-4	3.112E-4	3.326E-4	2.27E-4	2.482E-4	5.87E-5	8.92E-5	2.45E-5	0.0015	0.0	0.0	2.48E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Yellow-bellied Sapsucker	4.7E-5	1.509E-4	3.535E-4	9.783E-4	6.234E-4	3.502E-4	2.189E-4	9.73E-5	2.93E-5	1.203E-4	1.811E-4	1.057E-4	2.112E-4	4.468E-4	1.469E-4	2.175E-4	0.0016304	0.0044663	0.0048759	0.0049802	0.0072767	0.0109625	0.0093345	0.0093147	0.0071117	0.0047628	0.0027851	0.0020073	0.0012353	0.0012761	7.862E-4	0.001259	0.0011029	7.337E-4	2.676E-4	4.9E-5	1.213E-4	2.97E-5	0.0	4.95E-5	3.43E-5	2.6E-4	5.634E-4	8.13E-4	1.267E-4	4.32E-5	3.68E-5	5.17E-5	
Red-naped Sapsucker	0.0	3.02E-5	0.0	2.33E-5	3.28E-5	0.0	1.99E-5	0.0	5.85E-5	3.01E-5	1.035E-4	0.0012859	0.0074862	0.0155255	0.0269403	0.0302668	0.0295562	0.0308208	0.0319979	0.0300323	0.029925	0.0304284	0.0362981	0.04158	0.0364996	0.0300443	0.0222493	0.0168111	0.0170528	0.015873	0.0142425	0.0138906	0.0177572	0.0178718	0.0109727	0.0046268	0.0012431	3.272E-4	3.112E-4	2.476E-4	3.43E-5	3.25E-5	3.76E-5	3.53E-5	0.0015	3.454E-4	7.35E-5	2.328E-4	
Yellow-bellied x Red-naped Sapsucker (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.39E-5	0.0	0.0	0.0	0.0	1.51E-5	4.42E-5	4.6E-5	0.0	4.08E-5	2.61E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17E-5	
Yellow-bellied/Red-naped Sapsucker	0.0	0.0	0.0	0.0	0.0	5.39E-5	3.98E-5	0.0	0.0	0.0	0.0	1.76E-5	0.0	0.0015	2.1E-5	4.66E-5	1.9E-5	5.32E-5	0.0015	9.05E-5	8.85E-5	6.89E-5	2.42E-5	0.0015	2.61E-5	3.0E-5	1.252E-4	9.12E-5	1.205E-4	6.22E-5	0.0	6.19E-5	5.51E-5	2.93E-5	2.97E-5	0.0	0.0015	0.0	3.46E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.68E-5	0.0	
Red-breasted Sapsucker	0.0143907	0.0140025	0.0142348	0.0095737	0.0109256	0.0142765	0.0102301	0.0125207	0.0151812	0.0207813	0.0294483	0.0350543	0.0359758	0.0365241	0.0406622	0.0377558	0.0386183	0.0404268	0.0364674	0.0445655	0.0553602	0.0561224	0.056539	0.0505483	0.0386174	0.0301042	0.0229065	0.0217609	0.0172938	0.0149082	0.0159359	0.0166563	0.0210936	0.0247975	0.030331	0.0274915	0.0265288	0.0221336	0.0148696	0.0145355	0.011928	0.0119922	0.0103283	0.0114175	0.0107291	0.0119598	0.0217599	0.0211874	
Yellow-bellied x Red-breasted Sapsucker (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1E-5	0.0	0.0	0.0	0.0	0.0	2.21E-5	0.0	0.0	0.0015	2.61E-5	5.99E-5	3.13E-5	0.0	0.0015	0.0	0.0	2.06E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red-naped x Red-breasted Sapsucker (hybrid)	2.35E-5	0.0	3.21E-5	0.0	6.56E-5	2.69E-5	1.99E-5	0.0	2.93E-5	6.01E-5	5.18E-5	0.0	9.39E-5	8.94E-5	2.1E-5	4.66E-5	1.9E-5	5.32E-5	1.219E-4	4.53E-5	0.0015	9.19E-5	1.935E-4	2.854E-4	1.83E-4	5.99E-5	3.13E-5	0.0	6.03E-5	3.11E-5	3.02E-5	0.0	8.27E-5	2.93E-5	1.487E-4	9.79E-5	1.213E-4	5.95E-5	0.0015	2.48E-5	0.0	3.25E-5	3.76E-5	7.07E-5	1.69E-4	4.32E-5	0.0	2.59E-5	
Yellow-bellied/Red-naped x Red-breasted Sapsucker (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	3.02E-5	4.42E-5	2.3E-5	7.25E-5	8.15E-5	0.0	1.498E-4	0.0	0.0015	3.01E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red-naped/Red-breasted Sapsucker	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	2.23E-5	0.0015	3.11E-5	5.69E-5	1.241E-4	2.03E-5	9.05E-5	1.106E-4	4.6E-5	9.67E-5	6.11E-5	2.61E-5	8.99E-5	3.13E-5	2.28E-5	6.03E-5	0.0	3.02E-5	2.06E-5	2.76E-5	2.93E-5	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sapsucker sp.	2.35E-5	0.0	6.43E-5	2.33E-5	0.0	5.39E-5	1.194E-4	9.73E-5	8.78E-5	1.504E-4	7.76E-5	1.585E-4	2.347E-4	3.574E-4	4.196E-4	6.681E-4	7.583E-4	9.748E-4	0.0010158	7.999E-4	9.511E-4	0.0011031	8.948E-4	9.376E-4	0.0019348	8.986E-4	7.823E-4	2.737E-4	1.205E-4	1.867E-4	1.21E-4	1.238E-4	1.379E-4	2.054E-4	1.189E-4	1.469E-4	3.03E-5	1.785E-4	3.46E-5	9.9E-5	0.0	0.0	7.51E-5	3.53E-5	8.45E-5	0.0	3.68E-5	1.035E-4	
Lewis's Woodpecker	1.409E-4	0.0	3.21E-5	6.99E-5	3.28E-5	2.69E-5	1.99E-5	1.297E-4	5.85E-5	1.504E-4	2.59E-5	1.585E-4	7.04E-5	1.787E-4	1.049E-4	0.001243	0.0055738	0.0095883	0.0130633	0.0110923	0.0088691	0.0070785	0.0089476	0.0104969	0.007896	0.0071591	0.0067593	0.0068887	0.0057244	0.0059757	0.0054128	0.006646	0.0070588	0.0026412	0.0017842	0.0016891	8.792E-4	3.867E-4	1.729E-4	9.9E-5	2.057E-4	2.275E-4	3.76E-5	7.07E-5	0.0015	0.0	1.103E-4	4.139E-4	
Red-headed Woodpecker	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	9.39E-5	0.0	0.0	0.0	0.0	0.0	0.0	8.8E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Acorn Woodpecker	2.113E-4	9.05E-5	0.0	0.0	3.28E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	3.02E-5	0.0	4.6E-5	2.66E-4	3.057E-4	0.001072	7.189E-4	1.565E-4	2.965E-4	5.423E-4	1.867E-4	2.419E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.002023	0.0	0.0	0.0	7.8E-4	3.005E-4	7.07E-5	0.0	0.0	0.0	1.293E-4	
American Three-toed Woodpecker	0.0023241	0.0016296	0.0017352	0.0025157	0.0014108	0.0019664	0.0015524	0.0024652	0.0019306	0.0019248	0.0025877	0.0018144	7.979E-4	0.0011616	0.0014687	0.0013362	0.0017063	0.0022331	0.0028239	0.0035918	0.004136	0.0063431	0.0084639	0.0075211	0.0063273	0.0068596	0.0057579	0.0050639	0.0035552	0.0037037	0.0039915	0.0042518	0.0042463	0.0047541	0.0040739	0.0041861	0.0038808	0.0032129	0.0032852	0.0031696	0.0020908	0.0023399	0.0022534	0.0021209	0.0019008	0.0019429	0.0029405	0.0025094	
Black-backed Woodpecker	5.399E-4	6.036E-4	7.712E-4	5.358E-4	2.953E-4	4.31E-4	4.379E-4	5.19E-4	3.803E-4	4.511E-4	3.882E-4	6.87E-4	4.928E-4	4.244E-4	2.728E-4	5.283E-4	3.413E-4	7.798E-4	0.0013205	0.0010111	0.0013713	0.0019305	0.0018137	0.0015083	0.0014642	0.0014079	0.0014082	9.124E-4	9.34E-4	9.96E-4	8.769E-4	7.843E-4	7.445E-4	9.097E-4	6.542E-4	7.834E-4	6.67E-4	7.14E-4	8.991E-4	6.933E-4	4.113E-4	5.85E-4	3.756E-4	5.302E-4	4.224E-4	4.318E-4	4.778E-4	9.572E-4	
American Three-toed/Black-backed Woodpecker	2.35E-5	0.0	0.0	2.33E-5	0.0	2.69E-5	5.97E-5	9.73E-5	5.85E-5	3.01E-5	5.18E-5	0.0	2.35E-5	0.0	0.0	0.0	1.9E-5	1.77E-5	2.03E-5	1.51E-5	6.64E-5	1.839E-4	4.84E-5	4.08E-5	5.23E-5	5.99E-5	3.13E-5	0.0	0.0	3.11E-5	6.05E-5	0.0	2.76E-5	2.93E-5	5.95E-5	2.45E-5	3.03E-5	5.95E-5	0.0	2.48E-5	0.0	3.25E-5	3.76E-5	0.0	4.22E-5	0.0	0.0	0.0	
Downy Woodpecker	0.1512783	0.1459698	0.1455609	0.13727	0.1370124	0.1431958	0.1435793	0.1336728	0.1304297	0.128327	0.1299555	0.1323081	0.1369567	0.130057	0.1267284	0.1200261	0.1068686	0.0940042	0.0820365	0.0795931	0.0773229	0.0767604	0.0783517	0.0816722	0.093576	0.1000779	0.101452	0.1140967	0.123889	0.1338624	0.134684	0.1485036	0.1525354	0.1464374	0.1476702	0.1435286	0.1430434	0.1340215	0.1258732	0.1198742	0.1281919	0.1396165	0.1523699	0.1620007	0.1591197	0.1685592	0.189223	0.1769241	
Hairy Woodpecker	0.0656384	0.0618644	0.0611484	0.0611693	0.0598117	0.0647021	0.0660775	0.0561484	0.0594963	0.0572915	0.0627005	0.0633444	0.0601004	0.0559812	0.0584965	0.0561209	0.0587142	0.0618542	0.0600544	0.0629169	0.0642957	0.0590412	0.0621977	0.0577433	0.0568672	0.0585011	0.0517274	0.0607436	0.0648067	0.0683162	0.0713638	0.0721569	0.0767364	0.0740404	0.0716941	0.0688389	0.0692478	0.0652704	0.0553634	0.0543284	0.0564524	0.0576536	0.0624953	0.0646872	0.0652615	0.0686499	0.0797986	0.083094	
Downy/Hairy Woodpecker	4.93E-4	6.337E-4	5.463E-4	6.289E-4	4.265E-4	0.0011852	0.0017913	3.892E-4	5.558E-4	4.812E-4	7.246E-4	8.455E-4	5.867E-4	8.712E-4	6.714E-4	7.613E-4	8.531E-4	9.748E-4	6.704E-4	5.886E-4	5.529E-4	6.205E-4	5.804E-4	2.65E-4	4.968E-4	2.995E-4	5.007E-4	4.79E-4	4.821E-4	4.98E-4	5.745E-4	5.16E-4	6.342E-4	7.63E-4	6.839E-4	6.365E-4	8.186E-4	6.247E-4	4.495E-4	4.952E-4	5.141E-4	4.225E-4	5.634E-4	6.363E-4	4.646E-4	7.34E-4	9.924E-4	6.985E-4	
White-headed Woodpecker	0.0015	0.0	0.0015	4.66E-5	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	5.28E-5	0.0	0.0	2.1E-5	0.0	1.9E-5	1.77E-5	0.0015	3.02E-5	0.0015	4.6E-5	0.0	0.0	2.61E-5	5.99E-5	3.13E-5	0.0	0.0	0.0015	0.0	2.06E-5	2.76E-5	5.87E-5	0.0	0.0	0.0015	0.0	0.0	2.48E-5	0.0015	0.0	7.51E-5	0.0	0.0	0.0	0.0015	1.293E-4	
