Com_Name,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,annual_mean,annual_max,n_months_present,rarity,present_m1,present_m2,present_m3,present_m4,present_m5,present_m6,present_m7,present_m8,present_m9,present_m10,present_m11,present_m12
Northern Shoveler,0.0533606,0.0518755,0.0518621,0.0571162,0.0484924,0.0413749,0.0369994,0.0502125,0.050604,0.0480888,0.0522979,0.0548539,0.0657796,0.0833687,0.0983823,0.1114029,0.1069824,0.0947486,0.0796189,0.0592195,0.0351005,0.0278084,0.0208938,0.013167,0.0117656,0.010514,0.0128614,0.0140511,0.0200054,0.0337691,0.0504989,0.0674303,0.0690435,0.0716046,0.0749651,0.0841391,0.0898645,0.0863331,0.0855523,0.0894661,0.0814739,0.080143,0.0786074,0.0688936,0.0610797,0.0582013,0.0468647,0.0511706,NA,0.0535536,0.0442698,0.05146115,0.089733375,0.08514235,0.024242425,0.012298025,0.042925925000000004,0.07493807499999999,0.087804,0.077279475,0.054329075,0.05816477291666667,0.089733375,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Blue-winged Teal x Northern Shoveler (hybrid),0,0,0,0,0,2.69e-5,1.99e-5,0,0,0,0,0,0,2.23e-5,0,0,5.69e-5,0,0,7.55e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1.17e-5,0,5.575e-6,3.3100000000000005e-5,0,0,0,0,0,0,0,4.197916666666667e-6,3.3100000000000005e-5,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cinnamon Teal x Northern Shoveler (hybrid),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77e-5,2.03e-5,4.53e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,2.0825e-5,0,0,0,0,0,0,0,1.7354166666666666e-6,2.0825e-5,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gadwall,0.0653802,0.0639165,0.0694065,0.0718845,0.0682109,0.0587221,0.0509116,0.0698368,0.0744728,0.0745541,0.0774506,0.0822808,0.0870177,0.0899587,0.0940601,0.0998431,0.102148,0.1036811,0.1006054,0.0914853,0.0677239,0.0602822,0.0478816,0.0369125,0.029754,0.0284567,0.027976,0.0293339,0.03278,0.0374728,0.0414575,0.0494943,0.050983,0.0587217,0.0629516,0.0710666,0.0709153,0.075415,0.07708,0.0826317,0.0808569,0.0824179,0.0796214,0.0723224,0.0667399,0.0629506,0.06131,0.0601992,NA,0.067646925,0.06192035,0.077189575,0.0927199,0.09947995,0.05320005,0.02888015,0.04030115,0.060930725,0.0765105,0.07880465,0.062799925,0.06669865416666666,0.09947995,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Falcated Duck,0,0,0.0015,0.0015,6.56e-5,5.39e-5,0,0.0015,2.93e-5,0.0015,0.0015,0,0,0,0.0015,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7.5e-4,4.04875e-4,7.57325e-4,3.75e-4,3.75e-4,0,0,0,0,0,0,0,2.2185e-4,7.57325e-4,0,Very rare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Eurasian Wigeon,0.0349555,0.0340103,0.0325825,0.0290939,0.0271006,0.025132,0.0208781,0.0272795,0.0269986,0.0301946,0.02994,0.026828,0.0230921,0.0194795,0.0125889,0.0082348,0.0047396,0.0026939,0.0014018,3.924e-4,8.85e-5,6.89e-5,5.562e-4,4.076e-4,5.752e-4,2.995e-4,9.39e-5,0.00025090000000000003,6.327e-4,3.112e-4,3.629e-4,4.954e-4,7.721e-4,6.163e-4,0.0014273,0.0035497,0.0061547,0.0105611,0.0172903,0.0249356,0.0275578,0.0358791,0.0317359,0.0273595,0.0293993,0.0287984,0.0253621,0.0278877,NA,0.032660549999999997,0.02509755,0.0284903,0.015848825,0.002306925,2.803e-4,3.04875e-4,4.5055e-4,0.00159135,0.014735425,0.030633075,0.027861875,0.0150218,0.032660549999999997,9,Uncommon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
American Wigeon,0.20593,0.2111235,0.2060345,0.2058933,0.1946258,0.1840588,0.1537497,0.1964384,0.1919736,0.2043247,0.213953,0.2121404,0.2100347,0.2002904,0.1814272,0.1563524,0.1189831,0.0946068,0.0700703,0.0564275,0.0403866,0.0358292,0.0329367,0.0251111,0.0226946,0.0187815,0.019652,0.0180429,0.0202766,0.0245254,0.0350166,0.0585759,0.0845397,0.1159467,0.1391656,0.1706039,0.2004972,0.2206224,0.2413376,0.2615887,0.2564524,0.258206,0.2405543,0.2219512,0.2087945,0.2007254,0.1855841,0.188074,NA,0.207245325,0.18221817499999998,0.20559792500000001,0.18702617500000002,0.085021925,0.0335659,0.019792749999999998,0.034598625,0.127563975,0.231011475,0.244290975,0.19579449999999998,0.14614397708333332,0.244290975,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Gadwall x American Wigeon (hybrid),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25e-5,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,8.125e-6,0,6.770833333333332e-7,8.125e-6,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Eurasian x American Wigeon (hybrid),0.0010564,0.0015089,0.0013817,0.0014442,0.0018045,0.0015085,9.951e-4,0.0012326,0.0016088,0.0014135,0.0012421,0.001145,7.744e-4,3.798e-4,5.245e-4,3.418e-4,2.654e-4,8.86e-5,2.03e-5,6.04e-5,2.21e-5,2.3e-5,0,0,0,0,0,0,0,0,0,0,2.76e-5,2.93e-5,5.95e-5,0,2.729e-4,7.14e-4,6.57e-4,0.0011391,0.0016452,0.0020799,0.0012018,0.0013432,8.87e-4,0.0011226,9.924e-4,0.0012418,NA,0.0013478000000000001,0.001385175,0.00135235,5.05125e-4,1.08675e-4,1.1275e-5,0,0,2.9100000000000003e-5,6.957500000000001e-4,0.001567525,0.00106095,6.719770833333333e-4,0.001567525,5,Very rare,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Eurasian/American Wigeon,9.39e-5,1.811e-4,1.928e-4,1.398e-4,2.625e-4,1.077e-4,1.99e-4,9.73e-5,5.85e-5,9.02e-5,2.07e-4,1.76e-5,1.173e-4,6.7e-5,2.1e-5,6.21e-5,0,0,4.06e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76e-5,2.93e-5,0,4.9e-5,9.1e-5,8.92e-5,1.383e-4,1.238e-4,1.371e-4,1.3e-4,1.127e-4,3.53e-5,2.534e-4,1.727e-4,1.47e-4,1.035e-4,NA,1.519e-4,1.66625e-4,9.332499999999999e-5,6.685e-5,1.015e-5,0,0,0,2.6475e-5,1.10575e-4,1.03775e-4,1.6915e-4,7.490208333333334e-5,1.6915e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mallard,0.3684532,0.3809337,0.375245,0.3836944,0.3774402,0.3459218,0.3150625,0.3873301,0.4020242,0.4078674,0.4153038,0.4258486,0.4475969,0.4483413,0.4300581,0.4170693,0.3914156,0.3745458,0.350453,0.3097552,0.2511446,0.2239382,0.2056491,0.1852146,0.1854002,0.194764,0.2052823,0.2243157,0.2609141,0.2887644,0.3018748,0.3231785,0.3143905,0.3211058,0.3271878,0.3486744,0.3486038,0.3662462,0.3880628,0.4109053,0.4062382,0.4140721,0.407196,0.3896783,0.3741658,0.3672121,0.3569433,0.3477429,NA,0.377081575,0.35643865,0.412761,0.4357664,0.3565424,0.216486625,0.20244055,0.29368295,0.32783962499999997,0.378454525,0.40429614999999997,0.361516025,0.34360887291666664,0.4357664,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Muscovy Duck x Mallard (hybrid),2.35e-5,3.02e-5,0,0,6.56e-5,8.08e-5,1.99e-5,3.24e-5,2.93e-5,0,5.18e-5,1.76e-5,0,2.23e-5,8.39e-5,2.331e-4,0,5.32e-5,2.03e-5,1.51e-5,2.21e-5,0,0,2.04e-5,0,0,0,0,3.01e-5,9.34e-5,0,2.06e-5,2.76e-5,5.87e-5,2.97e-5,0,6.06e-5,1.19e-4,1.037e-4,0.0015,0,0,0,0,0,0.0015,0,2.59e-5,NA,1.3425e-5,4.9675e-5,2.4675e-5,8.4825e-5,2.215e-5,1.0625e-5,0,3.6024999999999995e-5,2.9e-5,4.45825e-4,0,3.81475e-4,9.1475e-5,4.45825e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Northern Shoveler x Mallard (hybrid),0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,2.1e-5,0,0,0,2.03e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,3.75e-4,5.25e-6,5.075e-6,0,0,0,0,0,0,0,3.211041666666667e-5,3.75e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gadwall x Mallard (hybrid),1.409e-4,9.05e-5,1.285e-4,1.398e-4,0,5.39e-5,5.97e-5,9.73e-5,5.85e-5,2.105e-4,1.035e-4,8.81e-5,1.173e-4,4.47e-5,1.049e-4,9.32e-5,3.79e-5,1.77e-5,6.09e-5,0,0,2.3e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97e-5,3.46e-5,1.486e-4,1.714e-4,9.75e-5,3.76e-5,1.414e-4,1.69e-4,4.32e-5,3.68e-5,5.17e-5,NA,1.2492500000000001e-4,5.2725e-5,1.1515e-4,9.0025e-5,2.9125e-5,5.75e-6,0,0,0,5.3225e-5,1.11975e-4,7.5175e-5,5.483958333333333e-5,1.2492500000000001e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
American Wigeon x Mallard (hybrid),4.7e-5,3.02e-5,0,0,0,0,0,3.24e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76e-5,0,0,2.45e-5,3.03e-5,2.97e-5,3.46e-5,0.0015,0,0,3.76e-5,0,0,4.32e-5,0,2.59e-5,NA,1.9299999999999998e-5,8.1e-6,0,0,0,0,0,0,1.3025e-5,3.9865e-4,9.4e-6,1.7275e-5,3.88125e-5,3.9865e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
